x,y
1.35E+07,0.580318299
1.35E+07,0.585287443
1.35E+07,0.594977223
1.35E+07,0.613399159
1.36E+07,0.646700667
1.36E+07,0.650555731
1.36E+07,0.654346479
1.36E+07,0.661739709
1.36E+07,0.675804981
1.36E+07,0.679177501
1.36E+07,0.682494644
1.36E+07,0.688966952
1.36E+07,0.701291723
1.36E+07,0.704249428
1.36E+07,0.707159605
1.36E+07,0.712840973
1.36E+07,0.72367202
1.36E+07,0.743387892
1.36E+07,0.745531515
1.36E+07,0.747644653
1.36E+07,0.751781611
1.36E+07,0.759712609
1.36E+07,0.774309881
1.36E+07,0.776024627
1.36E+07,0.77771633
1.36E+07,0.781032167
1.36E+07,0.787404085
1.36E+07,0.799187201
1.36E+07,0.80057636
1.36E+07,0.801947923
1.36E+07,0.80463941
1.36E+07,0.809823535
1.36E+07,0.819453883
1.36E+07,0.820593157
1.36E+07,0.82171884
1.36E+07,0.823930272
1.36E+07,0.828199104
1.36E+07,0.836163182
1.36E+07,0.83718748
1.36E+07,0.838199301
1.36E+07,0.84018631
1.36E+07,0.844019187
1.36E+07,0.851160473
1.36E+07,0.852007213
1.36E+07,0.852844268
1.36E+07,0.854489912
1.36E+07,0.8576713
1.36E+07,0.863624131
1.36E+07,0.864332213
1.36E+07,0.865032676
1.36E+07,0.866411184
1.36E+07,0.869081499
1.36E+07,0.874097547
1.36E+07,0.882987784
1.36E+07,0.883464623
1.36E+07,0.883937195
1.36E+07,0.88486975
1.36E+07,0.886685901
1.36E+07,0.890133026
1.36E+07,0.890547433
1.36E+07,0.890958319
1.36E+07,0.891769691
1.36E+07,0.893351949
1.37E+07,0.896362938
1.37E+07,0.896725614
1.37E+07,0.897085358
1.37E+07,0.897796183
1.37E+07,0.899184066
1.37E+07,0.901831483
1.37E+07,0.906661577
1.37E+07,0.906939091
1.37E+07,0.907214605
1.37E+07,0.907759716
1.37E+07,0.908826813
1.37E+07,0.910872661
1.37E+07,0.914641351
1.37E+07,0.914863694
1.37E+07,0.915084571
1.37E+07,0.915521977
1.37E+07,0.916379774
1.37E+07,0.918030139
1.37E+07,0.921090796
1.37E+07,0.921287561
1.37E+07,0.921483031
1.37E+07,0.921870133
1.37E+07,0.922629318
1.37E+07,0.92409012
1.37E+07,0.926799961
1.37E+07,0.926960625
1.37E+07,0.927120318
1.37E+07,0.927436825
1.37E+07,0.928058554
1.37E+07,0.929258628
1.37E+07,0.931498245
1.37E+07,0.931622705
1.37E+07,0.931746519
1.37E+07,0.931992225
1.37E+07,0.932476085
1.37E+07,0.933414627
1.37E+07,0.935182679
1.37E+07,0.935288639
1.37E+07,0.935394088
1.38E+07,0.935603464
1.38E+07,0.936016233
1.38E+07,0.936818601
1.38E+07,0.938336424
1.38E+07,0.938435282
1.38E+07,0.938533658
1.38E+07,0.938728979
1.38E+07,0.93911399
1.38E+07,0.939862231
1.38E+07,0.941277127
1.38E+07,0.941362151
1.38E+07,0.941446791
1.38E+07,0.941614929
1.38E+07,0.941946706
1.38E+07,0.942592826
1.38E+07,0.943819535
1.38E+07,0.943892113
1.38E+07,0.943964391
1.38E+07,0.944108059
1.38E+07,0.944391886
1.38E+07,0.944945919
1.38E+07,0.94600257
1.38E+07,0.947932181
1.38E+07,0.947985096
1.38E+07,0.948037835
1.38E+07,0.948142788
1.38E+07,0.948350622
1.38E+07,0.948758205
1.39E+07,0.949542606
1.39E+07,0.950999773
1.39E+07,0.951046762
1.39E+07,0.951093603
1.39E+07,0.951186844
1.39E+07,0.951371587
1.39E+07,0.951734293
1.39E+07,0.952433924
1.39E+07,0.953739839
1.39E+07,0.955901532
1.40E+07,0.957750662
1.40E+07,0.959536589
1.40E+07,0.961053824
1.41E+07,0.962587187
1.41E+07,0.963953042
1.41E+07,0.965261683
1.42E+07,0.966679333
1.42E+07,0.9680304
1.42E+07,0.969560181
1.43E+07,0.971168929
1.43E+07,0.972808996
1.43E+07,0.974802621
1.44E+07,0.976949579
1.44E+07,0.976985197
1.44E+07,0.977020909
1.44E+07,0.977092615
1.44E+07,0.977237175
1.44E+07,0.97753102
1.44E+07,0.97813876
1.44E+07,0.97817768
1.44E+07,0.978216714
1.44E+07,0.97829513
1.44E+07,0.978453369
1.44E+07,0.978775662
1.44E+07,0.979445078
1.44E+07,0.979491743
1.44E+07,0.979538577
1.44E+07,0.979632756
1.44E+07,0.979823203
1.44E+07,0.98021278
1.44E+07,0.981029623
1.44E+07,0.981082473
1.44E+07,0.981135547
1.44E+07,0.981242373
1.44E+07,0.981458803
1.44E+07,0.981903302
1.44E+07,0.982843652
1.44E+07,0.982900805
1.44E+07,0.982958231
1.44E+07,0.983073913
1.44E+07,0.983308681
1.44E+07,0.983792597
1.44E+07,0.984824981
1.44E+07,0.984892687
1.44E+07,0.984960798
1.44E+07,0.985098263
1.45E+07,0.98537833
1.45E+07,0.985960547
1.45E+07,0.987228373
1.45E+07,0.987322804
1.45E+07,0.987418111
1.45E+07,0.987611436
1.45E+07,0.988009565
1.45E+07,0.988857732
1.45E+07,0.988969239
1.45E+07,0.989082089
1.45E+07,0.989311994
1.45E+07,0.989789992
1.45E+07,0.990832499
1.45E+07,0.990972452
1.45E+07,0.99111488
1.45E+07,0.99140766
1.45E+07,0.992029091
1.45E+07,0.992192968
1.45E+07,0.992360689
1.45E+07,0.992708735
1.45E+07,0.993464883
1.45E+07,0.993669045
1.45E+07,0.993880449
1.45E+07,0.994328262
1.45E+07,0.994566742
1.45E+07,0.994816713
1.45E+07,0.99535867
1.45E+07,0.995655912
1.45E+07,0.995975772
1.45E+07,0.996324166
1.45E+07,0.996710171
1.45E+07,0.997149057
1.45E+07,0.997670586
1.45E+07,0.998351554
1.45E+07,0.999987273
